,state,abbrev,vote_share
0,ALABAMA,AL,0.3708862516664528
1,ALASKA,AK,0.4473815127615069
2,ARIZONA,AZ,0.5015683167912931
3,ARKANSAS,AR,0.3578756672201685
4,CALIFORNIA,CA,0.6490891136066756
5,COLORADO,CO,0.5693831949230015
6,CONNECTICUT,CT,0.6019504908807785
7,DELAWARE,DE,0.5962674416498447
8,FLORIDA,FL,0.48305245337858443
9,GEORGIA,GA,0.5011932966290864
10,HAWAII,HI,0.6503266464651488
11,IDAHO,ID,0.3412285707492213
12,ILLINOIS,IL,0.5865904373280693
13,INDIANA,IN,0.4180495199255704
14,IOWA,IA,0.4581673691536295
15,KANSAS,KS,0.4250657174436865
16,KENTUCKY,KY,0.36799897099737033
17,LOUISIANA,LA,0.4053555954370895
18,MAINE,ME,0.5467040458200397
19,MARYLAND,MD,0.6702904704709234
20,MASSACHUSETTS,MA,0.6711554954014815
21,MICHIGAN,MI,0.5141355934440947
22,MINNESOTA,MN,0.5363951364856667
23,MISSISSIPPI,MS,0.4161501417261114
24,MISSOURI,MO,0.4216417935559855
25,MONTANA,MT,0.41602819907951893
26,NEBRASKA,NE,0.40215947753398273
27,NEVADA,NV,0.512231173400438
28,NEW HAMPSHIRE,NH,0.5374834772159505
29,NEW JERSEY,NJ,0.5807128358679484
30,NEW MEXICO,NM,0.5551849015171975
31,NEW YORK,NY,0.6171683489301224
32,NORTH CAROLINA,NC,0.4931581746681328
33,NORTH DAKOTA,ND,0.3278259157710337
34,OHIO,OH,0.45923302352297285
35,OKLAHOMA,OK,0.3305996050309349
36,OREGON,OR,0.5830715698544173
37,PENNSYLVANIA,PA,0.5058920525934906
38,RHODE ISLAND,RI,0.6059935988395926
39,SOUTH CAROLINA,SC,0.44073391250417904
40,SOUTH DAKOTA,SD,0.365652201383185
41,TENNESSEE,TN,0.38172229627933646
42,TEXAS,TX,0.4716927876322047
43,UTAH,UT,0.39306394878148365
44,VERMONT,VT,0.6829918655280656
45,VIRGINIA,VA,0.551546869993999
46,WASHINGTON,WA,0.599255031847907
47,WEST VIRGINIA,WV,0.3020146768607797
48,WISCONSIN,WI,0.5031906326653399
49,WYOMING,WY,0.27519565624414905
